HS version,Product Code,Basic Element Flag,Product Description,lang
HS2012,1,0,LIVE ANIMALS,en
HS2012,101,0,"Live horses, asses, mules and hinnies.",en
HS2012,1012,0,- Horses :,en
HS2012,10121,1,-- Pure-bred breeding animals,en
HS2012,10129,1,-- Other,en
HS2012,10130,1,- Asses,en
HS2012,10190,1,- Other,en
HS2012,102,0,Live bovine animals.,en
HS2012,1022,0,- Cattle :,en
HS2012,10221,1,-- Pure-bred breeding animals,en
HS2012,10229,1,-- Other,en
HS2012,1023,0,- Buffalo :,en
HS2012,10231,1,-- Pure-bred breeding animals,en
HS2012,10239,1,-- Other,en
HS2012,10290,1,- Other,en
HS2012,103,0,Live swine.,en
HS2012,10310,1,- Pure-bred breeding animals,en
HS2012,1039,0,- Other :,en
HS2012,10391,1,-- Weighing less than 50 kg,en
HS2012,10392,1,-- Weighing 50 kg or more,en
HS2012,104,0,Live sheep and goats.,en
HS2012,10410,1,- Sheep,en
HS2012,10420,1,- Goats,en
HS2012,105,0,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",en
HS2012,1051,0,- Weighing not more than 185 g :,en
HS2012,10511,1,-- Fowls of the species Gallus domesticus,en
HS2012,10512,1,-- Turkeys,en
HS2012,10513,1,-- ducks,en
HS2012,10514,1,-- geese,en
HS2012,10515,1,-- guinea Fowls,en
HS2012,1059,0,- Other :,en
HS2012,10594,1,-- Fowls of the species Gallus domesticus,en
HS2012,10599,1,-- Other,en
HS2012,106,0,Other live animals.,en
HS2012,1061,0,- Mammals :,en
HS2012,10611,1,-- Primates,en
HS2012,10612,1,"-- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",en
HS2012,10613,1,-- Camels and Other camelids (Camelidae),en
HS2012,10614,1,-- rabbits and hares,en
HS2012,10619,1,-- Other,en
HS2012,10620,1,- reptiles (including snakes and turtles),en
HS2012,1063,0,- Birds :,en
HS2012,10631,1,-- Birds of prey,en
HS2012,10632,1,"-- Psittaciformes (including parrots, parakeets, macaws and cockatoos)",en
HS2012,10633,1,-- Ostriches,en
HS2012,10639,1,-- Other,en
HS2012,1064,0,- Insects :,en
HS2012,10641,1,-- Bees,en
HS2012,10649,1,-- Other,en
HS2012,10690,1,- Other,en
HS2012,2,0,MEAT AND EDIBLE MEAT OFFAL,en
HS2012,201,0,"Meat of bovine animals, fresh or chilled.",en
HS2012,20110,1,- Carcasses and half-Carcasses,en
HS2012,20120,1,- Other cuts with bone in,en
HS2012,20130,1,- Boneless,en
HS2012,202,0,"Meat of bovine animals, frozen.",en
