"code","name","geo","type","shown"
"0","Nairobi","POINT (-1.28333 36.81667)","0",true
"1","Mombasa","POINT (-4.05466 39.66359)","0",true
"2","Kisumu","POINT (-0.10221 34.76171)","0",true
"3","Nakuru","POINT (-0.28333 36.06667)","0",true
"4","Eldoret","POINT (0.52036 35.26992)","0",true
"5","Malindi","POINT (-3.21799 40.11692)","0",true
"6","Marimanti","POINT (-0.11667 37.95)","0",true
"7","Imenti","POINT (-0.00206 37.59484)","0",true
"8","Nyahururu","POINT (0.05 36.3)","0",true
"9","Kitale","POINT (1.01572 35.00622)","0",true
"10","Kakamega","POINT (0.28422 34.75228)","0",true
"11","Machakos","POINT (-1.28333 37.41667)","0",true
"12","Kisii","POINT (-0.74428 34.83014)","0",true
"13","Busia","POINT (0.36186 34.16684)","0",true
"14","Taveta","POINT (-3.40193 38.36402)","0",true
"15","Loitokitok","POINT (-2.90103 37.51816)","0",true
"16","Embu","POINT (-0.425 37.531)","0",true
"17","Kitui","POINT (-1.835 38.451)","0",true
"18","Tharaka North","POINT (-0.1 38.16667)","0",true
"19","Chwele","POINT (0.41809,34.5897)","0",true
"20","Tharaka S","POINT (-0.25 37.91667)","0",true
"21","Isiolo","POINT (0.35462 37.58218)","0",true
"22","Kajiado","POINT (-1.85238 36.77683)","0",true
