citycode,code,name,lang,shown,lat,lon,geo
0,0,Market of Nairobi,en,true,,,
1,1,Market of Mombasa,en,true,,,
2,2,Market of Kisumu,en,true,,,
3,3,Market of Nakuru,en,true,,,
4,4,Market of Eldoret,en,true,,,
5,5,Market of Malindi,en,true,,,
6,6,Market of Marimanti,en,true,,,
7,7,Market of Imenti,en,true,,,
8,8,Market of Nyahururu,en,true,,,
9,9,Market of Kitale,en,true,,,
10,10,Market of Kakamega,en,true,,,
11,11,Market of Machakos,en,true,,,
12,12,Market of Kisii,en,true,,,
13,13,Market of Busia,en,true,,,
14,14,Market of Taveta,en,true,,,
15,15,Market of Loitokitok,en,true,,,
16,16,Market of Embu,en,true,,,
17,17,Market of Kitui,en,true,,,
18,18,Market of Tharaka North,en,true,,,
19,19,Market of Chwele,en,true,,,
20,20,Market of Tharaka S,en,true,,,
21,21,Market of Isiolo,en,true,,,
22,22,Market of Kajiado,en,true,,,
